WKT,id,name,lat,long
"POINT (96.74939930000001 4.695135)",11.0,ACEH,4.695135,96.74939930000001
"POINT (99.5450974 2.1153547)",12.0,SUMATERA UTARA,2.1153547,99.5450974
"POINT (100.80000509999999 -0.7399397)",13.0,SUMATERA BARAT,-0.7399397,100.80000509999999
"POINT (102.43805809999999 -1.4851831)",15.0,JAMBI,-1.4851831,102.43805809999999
"POINT (101.70682940000002 0.2933469)",14.0,RIAU,0.2933469,101.70682940000002
"POINT (103.914399 -3.3194373999999995)",16.0,SUMATERA SELATAN,-3.3194373999999995,103.914399
"POINT (102.3463875 -3.5778470999999996)",17.0,BENGKULU,-3.5778470999999996,102.3463875
"POINT (105.40680790000002 -4.5585849000000005)",18.0,LAMPUNG,-4.5585849000000005,105.40680790000002
"POINT (106.4405872 -2.7410513)",19.0,KEPULAUAN BANGKA BELITUNG,-2.7410513,106.4405872
"POINT (108.1428669 3.9456513999999996)",21.0,KEPULAUAN RIAU,3.9456513999999996,108.1428669
